Clusters used:,5
Dimension:,2
numDataPoints,serialTime,parallelTime
100,.05604456000000000000,.05179269000000000000
200,.11302190000000000000,.08703777000000000000
300,.16783430000000000000,.12982350000000000000
400,.22495520000000000000,.16247300000000000000
500,.28136360000000000000,.20834470000000000000
600,.33630470000000000000,.25001830000000000000
700,.39262430000000000000,.28568570000000000000
800,.44932750000000000000,.32511070000000000000
900,.50422980000000000000,.36132620000000000000
1000,.56138010000000000000,.40109500000000000000
1100,.61559200000000000000,.43807980000000000000
1200,.67439660000000000000,.48105170000000000000
1300,.72821110000000000000,.51661380000000000000
1400,.78308250000000000000,.56289360000000000000
1500,.84230280000000000000,.61059390000000000000
1600,.89467070000000000000,.63978630000000000000
1700,.95849200000000000000,.73623940000000000000
1800,1.01105000000000000000,.72046530000000000000
1900,1.06944000000000000000,.76242200000000000000
2000,1.11796900000000000000,.79644770000000000000
2100,1.17505500000000000000,.83194750000000000000
2200,1.23194000000000000000,.87439070000000000000
2300,1.28983700000000000000,.91227630000000000000
2400,1.34220700000000000000,.95698150000000000000
2500,1.39493200000000000000,1.00533730000000000000
2600,1.46164600000000000000,1.09607200000000000000
2700,1.51513800000000000000,1.07469100000000000000
2800,1.56963300000000000000,1.11714800000000000000
2900,1.62304600000000000000,1.15694300000000000000
3000,1.68218800000000000000,1.19531300000000000000
3100,1.73329600000000000000,1.22973300000000000000
3200,1.79698700000000000000,1.33714100000000000000
3300,1.85123000000000000000,1.30822000000000000000
3400,1.90750000000000000000,1.35369800000000000000
3500,1.95657600000000000000,1.38658800000000000000
3600,2.02354300000000000000,1.46366000000000000000
3700,2.07170800000000000000,1.46415400000000000000
3800,2.13456700000000000000,1.51059200000000000000
3900,2.17868700000000000000,1.55512300000000000000
4000,2.23932600000000000000,1.59339600000000000000
4100,2.30443900000000000000,1.67273300000000000000
4200,2.36317000000000000000,1.67354800000000000000
4300,2.41519000000000000000,1.74403300000000000000
4400,2.46728100000000000000,1.74798800000000000000
4500,2.52389400000000000000,1.78221900000000000000
4600,2.59128300000000000000,1.87471500000000000000
4700,2.63570200000000000000,1.91444700000000000000
4800,2.69124600000000000000,1.93772700000000000000
4900,2.75695900000000000000,1.96762400000000000000
5000,2.79779500000000000000,2.02133900000000000000
